diagnosisKey,diagnosisRef,diagnosisCategory,diagnosisLabel,diagnosisDomain,
344,2.14.4,Neurologic conditions,Status Epilepticus,Coca,
345,2.5.7,Neurologic conditions,Occipital plagiocephaly,Coca,
346,2.15.7,Neurologic conditions,Concussion,Coca,
347,2.15.1,Muskuloskeletal conditions,"Extremities and spine: limp, intoeing, alignment abnormalities/scoliosis, joint instability, club foot, swelling or pain",Coca,
348,2.15.3,Muskuloskeletal conditions,"Inflamed joints:  (eg Juvenile rheumatoid arthritis, Henoch Schonlein Purpura, septic arthritis)",Coca,
349,2.15.4,Muskuloskeletal conditions,Congenital hip dislocation: screening,Coca,
350,2.15.5,Muskuloskeletal conditions,Fractures,Coca,
351,2.15.6,Muskuloskeletal conditions,"Strains, sprains and dislocation Injuries",Coca,
352,2.15.8,Muskuloskeletal conditions,Elbow dislocation,Coca,
353,2.15.9,Muskuloskeletal conditions,"Teen specific orthopedic conditions: incl. Anterior Cruciate Ligament tears, Osgoode Schlatters disease, osteoporosis (in competitive female athletes)",Coca,
354,2.15.10,Muskuloskeletal conditions,Analgesia use,Coca,
355,2.16.1,Injury Prevention,Car seats advice,Coca,
356,2.17.1,Childhood Abuse and Neglect,Domestic violence and children,Coca,
357,2.17.2,Childhood Abuse and Neglect,Children's Aid reporting,Coca,
358,2.18.2,Mental health issues,Parent-child problems,Coca,
359,2.18.3,Mental health issues,"Mood, Psychotic other disruptive disorders",Coca,
360,2.18.4,Mental health issues,Antidepressants In Children Risk and Benefit,Coca,
361,2.18.5,Mental health issues,"Suicide, Substance risk assessment",Coca,
362,2.18.7,Mental health issues,Eating disorders In Children,Coca,
363,2.5.4,Pediatric emergencies,"epiglottitis, retropharyngeal abscess",Coca,
364,2.19.1,Pediatric emergencies,Dehydration,Coca,
365,2.19.2,Pediatric emergencies,"Critical care:  (eg. cardiopulmonary resuscitation in infants and children, lumbar puncture, intraosseous line insertion, urinary catheterization)",Coca,
366,2.19.4,Pediatric emergencies,Life-threatening illnesses: meningitis or sepsis,Coca,
